"COD_CURSO","COD_DISCIPLINA","TIPO","DISCIPLINA","CREDITOS","COD_SETOR","SEMESTRE_IDEAL"
14102100,1411193,"Complementar","BANCO DE DADOS I",4,"14110000",5
14102100,1411194,"Complementar","BANCO DE DADOS II",4,"14110000",6
14102100,1411195,"Complementar","SISTEMAS DE INFORMAÇÃO II",4,"14110000",5
14102100,1411196,"Complementar","INTELIGENCIA ARTIFICIAL I",4,"14110000",6
14102100,1411197,"Complementar","AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",4,"14110000",7
14102100,1411198,"Optativa","ADM.DE SIST.GERENC.DE BANCO DE DADOS",4,"14110000",
14102100,1411199,"Optativa","AVAL.DE DESEMP. DE REDES DE COMPUTADORES",4,"14110000",
14102100,1411200,"Optativa","COMPUTAÇÃO GRÁFICA",4,"14110000",
14102100,1411201,"Optativa","EMPREENDEDORISMO",4,"14110000",
14102100,1411202,"Optativa","ENGENHARIA DE SOFTWARE II",4,"14110000",
14102100,1411203,"Optativa","ESTÁGIO INTEGRADO",10,"14110000",
14102100,1411204,"Optativa","GERENCIA DE REDES DE COMPUTADORES",4,"14110000",
14102100,1411205,"Optativa","HARDWARE E SOFTWARE CODESIGN",4,"14110000",
14102100,1411206,"Optativa","HISTÓRIA DA COMPUTAÇÃO",2,"14110000",
14102100,1411207,"Optativa","INFORMÁTICA NA EDUCAÇÃO",4,"14110000",
14102100,1411208,"Optativa","INTELIGÊNCIA ARTIFICIAL II",4,"14110000",
14102100,1411209,"Optativa","INTERFACE HOMEM-MÁQUINA",4,"14110000",
14102100,1411210,"Optativa","MARKETING PARA INFORMÁTICA",4,"14110000",
14102100,1411211,"Optativa","MÉTODOS AVANÇADOS DE PROGRAMAÇÃO",4,"14110000",
14102100,1411212,"Optativa","ORGAN. E ARQUITETURA DE COMPUTADORES II",4,"14110000",
14102100,1411213,"Optativa","OTIMIZAÇÃO",4,"14110000",
14102100,1411214,"Optativa","PRÁTICA DE ENSINO DE COMPUTAÇÃO",2,"14110000",
14102100,1411215,"Optativa","PROGRAMAÇÃO EM LÓGICA",4,"14110000",
